"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_symbol"
"Sdccag8",1.11633048399621e-10,0.121593188156758,0.216,0.131,3.1255020890926e-06,"Sdccag8"
"Faim",1.11809974419316e-10,0.217326687615204,0.461,0.356,3.130455663792e-06,"Faim"
"Zfp91",1.12963976796475e-10,0.184549710017828,0.44,0.328,3.1627654223477e-06,"Zfp91"
"Phldb1",1.14811219976332e-10,-0.224541775821956,0.129,0.231,3.21448453689735e-06,"Phldb1"
"Gtf2e2",1.15584181367534e-10,0.173661710808606,0.283,0.189,3.23612590992822e-06,"Gtf2e2"
"Ankzf1",1.1598245766259e-10,0.118813119270562,0.181,0.104,3.2472768496372e-06,"Ankzf1"
"Kcnj3",1.16130722972986e-10,0.112290438812861,0.17,0.096,3.25142798179765e-06,"Kcnj3"
"Nup88",1.18179496760089e-10,0.172587142745156,0.323,0.224,3.30878955028897e-06,"Nup88"
"Foxk2",1.19055806873043e-10,0.096156498283677,0.148,0.079,3.33332448083147e-06,"Foxk2"
"Cdkl5",1.20080273014207e-10,0.160376470821867,0.332,0.227,3.36200748385178e-06,"Cdkl5"
"Pacs1",1.21547691126448e-10,0.113656995447209,0.195,0.114,3.40309225615828e-06,"Pacs1"
"Ptprg",1.21608277176063e-10,0.121670165605271,0.228,0.139,3.4047885443754e-06,"Ptprg"
"Gle1",1.22476976361649e-10,0.161124030423718,0.338,0.234,3.42911038417345e-06,"Gle1"
"Pms2",1.25092120773638e-10,0.112784050459964,0.187,0.108,3.50232919742032e-06,"Pms2"
"Fstl4",1.26975716642841e-10,0.0994276361203462,0.119,0.059,3.55506611456626e-06,"Fstl4"
"Dzip1",1.28341546363629e-10,0.131769718505494,0.227,0.139,3.59330661508889e-06,"Dzip1"
"Osgep",1.29120118652881e-10,0.170341751036374,0.324,0.225,3.61510508204336e-06,"Osgep"
"1700020I14Rik",1.29225953977865e-10,0.204148635712263,0.434,0.329,3.61806825947227e-06,"1700020I14Rik"
"Mon2",1.30056204417629e-10,0.134378073103384,0.262,0.168,3.64131361128477e-06,"Mon2"
"Hdlbp",1.30204540996754e-10,0.177217562700434,0.425,0.316,3.64546673882712e-06,"Hdlbp"
"Osgepl1",1.30498027339772e-10,0.154321576664685,0.254,0.163,3.65368376945895e-06,"Osgepl1"
"Zbtb26",1.31647191316246e-10,0.0984719668275587,0.151,0.081,3.68585806247226e-06,"Zbtb26"
